Incident Number,Exposure Number,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,Zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,Neighborhood  District,Location
10049672,0,3rd St. / Harrison St.,06/07/2010,101580233,06/07/2010 03:00:43 PM,06/07/2010 03:04:15 PM,06/07/2010 03:04:31 PM,SF,94107,B03,08,,2,9,0,0,0,0,E08,,,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,963 - street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,"(37.7825540000297, -122.397389)"
06038931,0,1300 The Embarcadero Nor,05/20/2006,061400338,05/20/2006 06:07:59 PM,05/20/2006 06:11:10 PM,05/20/2006 06:42:44 PM,SF,94111,B01,28,,12,42,0,0,0,0,E28,500,,0,0,0,0,,111 - building fire,none,11 - extinguish,-,-,-,"898 - dock, marina, pier, wharf",43 - storage: supplies or tools; dead stor,2 - unintentional,12 - heat source too close to combustibles,-,"40 - hot or smoldering object, other","50 - storage supplies, other",n - none,1 -enclosed building,2 -in normal use,1,-,1,1,0,0,0,u -undetermined,-,-,-,-,n -none present,-,-,-,0,3,North Beach,"(37.8051630000297, -122.403158)"
03016069,0,924 Geary St.,02/25/2003,030560184,02/25/2003 01:14:13 PM,02/25/2003 01:15:45 PM,02/25/2003 01:47:41 PM,SF,94109,B04,03,,5,22,1,2,3,8,E03,3000,1000,0,0,0,0,,111 - building fire,none,11 - extinguish,12 - salvage & overhaul,-,-,"449 - hotel/motel, commercial","14 - common room, den, family/living room",2 - unintentional,54 - equipment overloaded,-,"10 - heat from powered equipment, other","20 - furniture, utensils, other",3 - unattended or unsupervised person,1 -enclosed building,2 -in normal use,3,"20 -furniture, utensils, other",2,1,0,0,0,1 -present,1 -smoke,2 -detector operated,"1 -alerted occupants, occupants responded",-,1 -present,-,-,-,0,6,Tenderloin,"(37.7861120000297, -122.418551)"
13026587,0,25 Taylor St,03/20/2013,130790392,03/20/2013 11:17:11 PM,03/20/2013 11:21:13 PM,03/20/2013 11:23:52 PM,SF,94102,B03,01,1454,2,9,0,0,1,2,E01,,,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,963 - street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,"(37.7825050000297, -122.41108)"
08067588,0,1954 Mason St.,08/07/2008,082200022,08/07/2008 02:24:14 AM,08/07/2008 02:29:47 AM,08/07/2008 02:42:43 AM,SF,94133,B01,28,,1,4,0,0,0,0,E28,,,0,0,0,0,,522 - water or steam leak,none,86 - investigate,-,-,-,429 - multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chinatown,"(37.8017336600297, -122.41260412)"
07096701,0,640 Clay St.,12/03/2007,073370067,12/03/2007 07:49:25 AM,12/03/2007 07:54:22 AM,12/03/2007 07:59:07 AM,SF,94111,B01,13,,3,12,0,0,0,0,E13,,,0,0,0,0,,745 - alarm system sounded/no fire-accidental,none,86 - investigate,-,-,-,599 - business office,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chinatown,"(37.7947930100297, -122.40386389)"
08110657,0,149 Ellington Av.,12/27/2008,083620294,12/27/2008 08:17:35 PM,12/27/2008 08:23:29 PM,12/27/2008 08:39:02 PM,SF,,B09,43,,1,4,0,0,0,0,E43,,,0,0,0,0,,"440 - elec. wiring/equip. problem, other",none,86 - investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13024504,0,Leavenworth St / Bush St,03/14/2013,130730370,03/14/2013 10:20:02 PM,03/14/2013 10:22:45 PM,03/14/2013 10:22:54 PM,SF,94109,B01,41,1542,2,9,0,0,0,0,E41,,,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,"962 - residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Nob Hill,"(37.7893200000297, -122.415373)"
04063615,0,7th St. / Brannan St.,08/17/2004,042300043,08/17/2004 07:03:01 AM,08/17/2004 07:06:42 AM,08/17/2004 07:07:13 AM,SF,94103,B03,08,,2,9,0,0,0,0,E29,0,0,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,"962 - residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,"(37.7730500000297, -122.403209)"
12092514,0,7th St. / Mission St.,10/06/2012,122800097,10/06/2012 08:35:47 AM,10/06/2012 08:39:25 AM,10/06/2012 08:39:50 AM,SF,94103,B02,01,,2,9,0,0,0,0,E01,,,0,0,0,0,,"711 - municipal alarm system, street box false",none,61 - restore municipal services,-,-,-,"960 - street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,"(37.7793040000297, -122.411152)"
